,airports,dates,day_before
394,SPI,2008-01-01 14:42:00,14.7
395,FWA,2008-01-01 14:42:00,14.7
396,CHA,2008-01-01 14:43:00,14.716666666666667
397,ACV,2008-01-01 14:53:00,14.883333333333333
398,SJU,2008-01-01 14:58:00,14.966666666666667
399,LAN,2008-01-01 15:00:00,15.0
400,SJU,2008-01-01 15:00:00,15.0
401,HNL,2008-01-01 15:04:00,15.066666666666666
402,STT,2008-01-01 15:07:00,15.116666666666667
403,MBS,2008-01-01 15:09:00,15.15
404,LFT,2008-01-01 15:10:00,15.166666666666666
405,RAP,2008-01-01 15:13:00,15.216666666666667
406,OGG,2008-01-01 15:14:00,15.233333333333333
407,LSE,2008-01-01 15:16:00,15.266666666666667
408,EYW,2008-01-01 15:16:00,15.266666666666667
409,BIS,2008-01-01 15:26:00,15.433333333333334
410,RAP,2008-01-01 15:26:00,15.433333333333334
411,LAN,2008-01-01 15:30:00,15.5
412,FCA,2008-01-01 15:31:00,15.516666666666667
413,TVC,2008-01-01 15:37:00,15.616666666666667
414,LIH,2008-01-01 15:37:00,15.616666666666667
415,LFT,2008-01-01 15:39:00,15.65
416,ELM,2008-01-01 15:39:00,15.65
417,OGG,2008-01-01 15:40:00,15.666666666666666
418,BGR,2008-01-01 15:45:00,15.75
419,BTV,2008-01-01 15:48:00,15.8
420,BTV,2008-01-01 15:50:00,15.833333333333334
421,ACV,2008-01-01 15:51:00,15.85
422,LNK,2008-01-01 16:01:00,16.016666666666666
423,HHH,2008-01-01 16:03:00,16.05
424,LIH,2008-01-01 16:04:00,16.066666666666666
425,FAI,2008-01-01 16:04:00,16.066666666666666
426,CRW,2008-01-01 16:04:00,16.066666666666666
427,LRD,2008-01-01 16:05:00,16.083333333333332
428,BQK,2008-01-01 16:05:00,16.083333333333332
429,GGG,2008-01-01 16:07:00,16.116666666666667
430,MLU,2008-01-01 16:07:00,16.116666666666667
431,RDD,2008-01-01 16:08:00,16.133333333333333
432,PIH,2008-01-01 16:09:00,16.15
433,SPS,2008-01-01 16:09:00,16.15
434,LIH,2008-01-01 16:12:00,16.2
435,BRO,2008-01-01 16:12:00,16.2
436,TWF,2008-01-01 16:14:00,16.233333333333334
437,STT,2008-01-01 16:14:00,16.233333333333334
438,BTM,2008-01-01 16:16:00,16.266666666666666
439,ABE,2008-01-01 16:16:00,16.266666666666666
440,AZO,2008-01-01 16:17:00,16.283333333333335
441,MOT,2008-01-01 16:18:00,16.3
442,MGM,2008-01-01 16:19:00,16.316666666666666
443,FCA,2008-01-01 16:21:00,16.35
444,GTR,2008-01-01 16:23:00,16.383333333333333
445,KTN,2008-01-01 16:24:00,16.4
446,LNK,2008-01-01 16:25:00,16.416666666666668
447,LFT,2008-01-01 16:27:00,16.45
448,CHO,2008-01-01 16:28:00,16.466666666666665
449,ITO,2008-01-01 16:29:00,16.483333333333334
450,BGM,2008-01-01 16:31:00,16.516666666666666
451,LIH,2008-01-01 16:33:00,16.55
452,KOA,2008-01-01 16:35:00,16.583333333333332
453,OAJ,2008-01-01 16:35:00,16.583333333333332
454,STX,2008-01-01 16:43:00,16.716666666666665
455,MLU,2008-01-01 16:45:00,16.75
456,MLU,2008-01-01 16:49:00,16.816666666666666
457,ITO,2008-01-01 16:49:00,16.816666666666666
458,OXR,2008-01-01 16:49:00,16.816666666666666
459,LFT,2008-01-01 16:53:00,16.883333333333333
460,RHI,2008-01-01 16:53:00,16.883333333333333
461,TYR,2008-01-01 16:53:00,16.883333333333333
462,GFK,2008-01-01 17:04:00,17.066666666666666
463,LAN,2008-01-01 17:13:00,17.216666666666665
464,ABI,2008-01-01 17:19:00,17.316666666666666
465,LNK,2008-01-01 17:21:00,17.35
466,CDV,2008-01-01 17:23:00,17.383333333333333
467,ADQ,2008-01-01 17:29:00,17.483333333333334
468,SPS,2008-01-01 17:32:00,17.533333333333335
469,EKO,2008-01-01 17:32:00,17.533333333333335
470,AZO,2008-01-01 17:36:00,17.6
471,LCH,2008-01-01 17:44:00,17.733333333333334
472,ACV,2008-01-01 17:48:00,17.8
