OSM_ID,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
-1858769,"4567,259574","5429,722222","4643,858369","5413,144279","4925,979798","4647,151832","3803,825397","5078,664865","4391,313514","5021,748503","4625,187879","3555,234568","5418,979592","4617,208955","5216,953846","5001,046154","5273,452991","4795,299065","4778,764151","4505,961165","4726,854369"
-1858768,"5149,91","5606,748663","4797,071429","5397,275281","5497,760479","5257,164634","4191,024691","5358,826923","5386,358974","5876,078431","5015,953947","4514,103448","6210,280576","5884,310606","5760,625954","5884,70229","5766,891473","5745,945736","5881,898438","4710,28125","5798,304688"
-1858767,"5965,44186","6491,906977","5460,651163","6289,860465","6710,186047","6402,813953","5298,255814","6500,162791","5766,093023","6221,52381","5847,15","4987,179487","6400,027027","5480,2","6095,485714","6221,914286","5926,142857","5996,771429","5692,411765","5747,911765","5606,911765"
-1858766,"6352,578947","5884,013158","5566,657895","6431,342105","6309,855263","6138,552632","5066,763158","6445,394737","6237,921053","6328,052632","6549,592105","5506,76","5959,27027","6063,549296","6623,140845",6319,"6712,197183","5731,577465","5298,647887","5168,366197","5816,352113"
-1858765,"5899,971335","6078,354914","5749,256524","5908,737945","5950,291269","5872,798368","6170,687208","6085,020794","6001,247664","6226,258983","6116,954779","5830,744289","6188,118182","6080,105177","6059,474802","6226,821745","6126,343757","5898,197666","6200,961503","6096,381008","5713,930005"
-1858764,"4765,433535","4768,843656","4505,975201","4633,853223","4583,723851","4527,328508","4815,19786","4641,726277","4813,272716","4525,512017","4812,192022","4641,696238","4846,652825","4694,490292","4691,777358","4955,664014","4731,133645","4749,940321","4940,078469","4911,282411","4530,367071"
-1858763,"7824,557237","7718,636575","7445,13713","7859,079322","7814,206007","7688,515862","7922,817118","7697,107014","7771,622695","7828,957487","7885,274484","7687,251373","7892,566585","7787,403379","7863,968869","8107,954132","7976,218833","7711,568891","7909,467581","7953,758322","7600,174158"
-1858762,"5630,120681","5837,763499","5626,673903","5743,981039","5700,973129","5527,299424","5986,796185","5797,008397","5819,609405","6348,993762","5901,53167","5848,131238","5976,365763","5855,299794","5881,513763","6115,609373","5926,351795","5669,719854","6074,779752","6017,638798","5518,380431"
-1858761,"6621,785268","6853,190545","6796,015827","6738,893873","6823,947361","6584,251854","6928,700453","6634,662214","6712,856723","6591,385802","6703,622134","6533,520723","6920,238389","6706,250735","6778,574809","6892,704422","6868,728809","6675,065991","6817,397472","6529,632515","6420,213435"
-1858760,"7877,853284","8140,107002","8187,836086","8121,089516","7975,265823","7916,913583","8017,020691","8104,169137","8015,031835","8042,472418","8302,878493","8120,213609","8254,344836","7996,976914","8055,973998","8376,401168","8426,565482","8071,326002","8240,797657","7807,594337","8063,805467"
-1858759,"6324,007595","6767,308861","6203,197468","7114,037975","6860,183081","6743,403266","6456,625473","6884,871212","6395,10101","6919,399494","7132,539823","6482,364096","6875,079747","6519,30828","6889,516582","7259,314176","7005,310345","6802,237852","6946,513744","6945,314394","6896,773674"
-1858758,"5643,139201","6008,489448","5998,426457","5924,13358","5914,527855","5344,13857","5969,868446","5805,616472","5587,897955","5680,15507","5793,885736","5877,32036","6231,569977","5935,853071","6092,756788","6244,250773","6340,896825","5910,514734","5818,511064","5360,762811","5608,262228"
-1858757,"5719,794626","5585,872572","5379,348479","5647,962407","5572,001859","5464,089521","5737,859477","5480,287971","5583,009825","5416,050451","5534,382236","5487,733006","5671,097982","5661,379154","5455,878623","5888,049954","5674,850418","5441,822031","5748,250464","5621,006235","5298,223401"
-1858756,"3064,79637","5007,853491","4079,587614","4822,040445","4588,776907","5101,41537","4958,94412","4636,260002","4862,67147","4781,3703","5621,510942","5133,703914","4834,809972","4088,682313","4452,550863","4899,930366","4776,975523","5132,010292","4519,889083","4382,609837","3946,108303"
-1858755,"6972,4181","7265,847662","6893,147847","7112,247147","6760,469369","6941,362162","6257,966667","6727,086657","6888,457271","7226,353596","7152,103759","6503,682942","7298,907776","6986,278431","7213,684163","7319,885436","7266,920475","7124,21629","7274,39861","6406,798187","7087,241994"
-1858754,"7368,998392","7562,982996","7330,186315","7544,667307","7099,722436","7474,460577","6999,239987","7247,450835","7098,050771","7530,127413","7546,029923","7403,251287","7655,851351","7327,696676","7634,297838","7777,015171","7770,535034","7626,986452","7633,806899","6947,231464","7230,912637"
-1858753,"7451,129547","7833,230018","7752,662822","7731,976385","7598,85118","7544,790381","7022,467391","7678,64808","7295,175503","7633,129799","7775,760512","7073,557182","7831,964318","7587,803721","8096,480447","7917,283985","7969,207635","7667,513966","7622,459032","6964,119292","7472,366263"
-1858752,"5416,510806","5570,738567","5446,756762","5449,65184","5239,100885","5206,308325","5583,811101","5367,823164","5565,53225","5347,361132","5535,597378","5516,09309","5738,92246","5373,030612","5269,256049","6006,414476","5608,488286","5478,278025","5666,326292","5489,197068","5258,043777"
-1858751,"3559,48505","4971,268728","4033,846426","5014,198966","4905,761619","5488,429649","5330,112413","5060,428822","5115,62604","5341,915249","5995,977666","4929,616339","5329,651251","4527,948163","5139,347628","4961,829817","4866,853456","5619,124754","4911,650543","4691,16417","4818,427775"
-1858750,"5678,691767","5967,853414","5404,405622","5986,329637","5609,56999","5764,109768","5231,905337","5998,704268","5564,730691","6125,969512","6179,715447","5055,610376","6028,076297","5616,86373","5870,341538","5574,927551","6005,353061","5896,146237","5547,833859","5581,342797","5995,893796"
-1858749,"5962,648411","6351,543537","5760,014344","6115,988388","5737,432082","6209,142468","5720,854124","5766,64758","5985,185412","6436,148603","6125,848671","5768,786494","6388,358117","5947,619372","6195,89427","6430,478854","6260,194407","6292,585034","6275,391689","5688,998638","6213,871253"
-1858735,"6053,970875","6287,362863","6222,344553","6091,464336","5991,411338","5658,961779","5770,263143","6148,935558","5693,545754","5599,217547","5919,636272","6018,126298","6440,125505","5689,330779","6090,31448","6444,332947","6400,919658","6089,620874","6150,648175","5491,562572","5535,748986"
-1858734,"6518,725185","6666,195019","6427,379355","6571,955027","6455,058769","6280,645539","6534,80283","6536,976252","6550,605405","6345,33037","6602,671385","6384,782873","6702,995672","6514,264857","6594,917759","6787,277726","6751,755178","6553,97636","6722,906612","6444,540082","6180,29725"
-1858733,"7274,143395","7472,75888","7544,828122","7349,341954","6914,759535","6912,524145","7365,121028","7151,094333","7189,448575","7195,18097","7332,820504","7407,001965","7453,453325","7166,199967","7042,109401","7625,120373","7733,143161","7169,240786","7234,263227","6833,560524","6808,031286"
